,audi,mercedes,mazda,bmw,nissan,volvo,ford,hyundai,volkswagen,toyota
audi,14.795252225519288,4.2011210023079455,2.5260186726496343,2.347497301852125,1.5156112035897806,5.358910254912498,2.377808393387028,0.9607306639947589,9.041543026706231,1.6318292895793332
mercedes,4.2011210023079455,30.77777777777778,1.5013550135501355,2.1536931561341652,2.252032520325203,7.270341207349081,2.931216931216931,2.797979797979798,11.969135802469136,2.2630718954248366
mazda,2.5260186726496343,1.5013550135501355,60.80487804878049,1.7316279346682808,4.44913741820345,6.224121375072018,4.343205574912892,3.9483687044662656,20.26829268292683,6.706420373027259
bmw,2.347497301852125,2.1536931561341652,1.7316279346682808,4.0569568755085434,1.464462481890889,1.7569498279761409,1.56965593397652,1.317193790749527,2.9300244100895037,1.312544871488058
nissan,1.5156112035897806,2.252032520325203,4.44913741820345,1.464462481890889,24.321951219512194,4.787785673132322,2.461149825783972,2.842825467215711,5.404878048780488,8.405380200860833
volvo,5.358910254912498,7.270341207349081,6.224121375072018,1.7569498279761409,4.787785673132322,39.25984251968504,4.206411698537683,1.529604254013703,13.086614173228346,4.330129689671144
ford,2.377808393387028,2.931216931216931,4.343205574912892,1.56965593397652,2.461149825783972,4.206411698537683,29.678571428571427,5.0106679035250465,6.595238095238095,3.2733718487394956
hyundai,0.9607306639947589,2.797979797979798,3.9483687044662656,1.317193790749527,2.842825467215711,1.529604254013703,5.0106679035250465,64.75324675324676,7.194805194805195,8.094155844155845
volkswagen,9.041543026706231,11.969135802469136,20.26829268292683,2.9300244100895037,5.404878048780488,13.086614173228346,6.595238095238095,7.194805194805195,277.0,8.147058823529411
toyota,1.6318292895793332,2.2630718954248366,6.706420373027259,1.312544871488058,8.405380200860833,4.330129689671144,3.2733718487394956,8.094155844155845,8.147058823529411,36.661764705882355
